******** data/norm_wiki_en.txt ********
n	char	(+char)		word	(+word)
1	4.2882	(4.2882)	11.5440	(11.5440)
2	7.8048	(3.5166)	17.9321	(6.3881)
3	10.8231	(3.0183)	20.1095	(2.1775)
4	13.3047	(2.4816)	20.5943	(0.4848)
5	15.3259	(2.0212)	20.7039	(0.1097)
6	16.9983	(1.6724)	20.7347	(0.0308)
7	18.3860	(1.3877)	20.7467	(0.0120)
8	19.5261	(1.1401)	20.7535	(0.0068)
9	20.4442	(0.9181)	20.7581	(0.0046)
10	21.1655	(0.7213)	20.7614	(0.0033)
11	21.7214	(0.5558)	20.7635	(0.0021)
12	22.1411	(0.4197)	20.7650	(0.0016)


******** data/norm_wiki_eo.txt ********
n	char	(+char)		word	(+word)
1	4.1768	(4.1768)	11.5605	(11.5605)
2	7.5168	(3.3400)	18.1176	(6.5571)
3	10.3886	(2.8718)	20.6029	(2.4853)
4	12.7812	(2.3926)	21.2365	(0.6337)
5	14.7728	(1.9915)	21.3982	(0.1617)
6	16.4818	(1.7090)	21.4451	(0.0469)
7	17.9690	(1.4873)	21.4644	(0.0193)
8	19.2470	(1.2779)	21.4762	(0.0118)
9	20.3223	(1.0753)	21.4807	(0.0044)
10	21.2051	(0.8827)	21.4840	(0.0033)
11	21.9101	(0.7050)	21.4868	(0.0028)
12	22.4577	(0.5476)	21.4888	(0.0020)


******** data/norm_wiki_et.txt ********
n	char	(+char)		word	(+word)
1	4.1698	(4.1698)	13.7462	(13.7462)
2	7.6768	(3.5070)	19.1702	(5.4240)
3	10.8112	(3.1344)	20.0751	(0.9049)
4	13.4221	(2.6109)	20.1914	(0.1162)
5	15.5335	(2.1114)	20.2150	(0.0236)
6	17.2632	(1.7297)	20.2225	(0.0075)
7	18.6860	(1.4227)	20.2254	(0.0029)
8	19.8246	(1.1386)	20.2271	(0.0017)
9	20.7049	(0.8803)	20.2282	(0.0011)
10	21.3656	(0.6607)	20.2290	(0.0008)
11	21.8520	(0.4864)	20.2296	(0.0006)
12	22.2043	(0.3523)	20.2301	(0.0005)


******** data/norm_wiki_ht.txt ********
n	char	(+char)		word	(+word)
1	4.1464	(4.1464)	8.1669	(8.1669)
2	7.2602	(3.1139)	11.3595	(3.1926)
3	9.5338	(2.2735)	12.6713	(1.3119)
4	11.0259	(1.4922)	13.4836	(0.8123)
5	12.0781	(1.0521)	14.1042	(0.6206)
6	12.8390	(0.7609)	14.6496	(0.5454)
7	13.4239	(0.5849)	15.1240	(0.4744)
8	13.8701	(0.4462)	15.5557	(0.4318)
9	14.2378	(0.3676)	15.9143	(0.3585)
10	14.5466	(0.3089)	16.2307	(0.3164)
11	14.8085	(0.2618)	16.5054	(0.2747)
12	15.0364	(0.2279)	16.7573	(0.2519)


******** data/norm_wiki_la.txt ********
n	char	(+char)		word	(+word)
1	4.2282	(4.2282)	11.9692	(11.9692)
2	7.6784	(3.4501)	16.3690	(4.3998)
3	10.5019	(2.8235)	17.5361	(1.1671)
4	12.6539	(2.1520)	17.9241	(0.3880)
5	14.2967	(1.6428)	18.1306	(0.2065)
6	15.6094	(1.3127)	18.2957	(0.1651)
7	16.6785	(1.0691)	18.4453	(0.1496)
8	17.5417	(0.8633)	18.5868	(0.1415)
9	18.2163	(0.6746)	18.7189	(0.1321)
10	18.7394	(0.5231)	18.8446	(0.1257)
11	19.1353	(0.3960)	18.9642	(0.1196)
12	19.4344	(0.2991)	19.0663	(0.1022)


******** data/norm_wiki_nv.txt ********
n	char	(+char)		word	(+word)
1	3.8749	(3.8749)	9.1540	(9.1540)
2	6.8222	(2.9473)	13.0175	(3.8635)
3	9.1898	(2.3676)	14.7366	(1.7191)
4	10.9850	(1.7953)	15.6359	(0.8993)
5	12.3266	(1.3416)	16.1746	(0.5386)
6	13.3465	(1.0198)	16.4884	(0.3139)
7	14.1485	(0.8020)	16.6767	(0.1883)
8	14.7960	(0.6475)	16.8082	(0.1315)
9	15.3300	(0.5340)	16.9166	(0.1084)
10	15.7773	(0.4474)	17.0118	(0.0952)
11	16.1601	(0.3827)	17.0793	(0.0675)
12	16.4924	(0.3323)	17.1092	(0.0299)


******** data/norm_wiki_so.txt ********
n	char	(+char)		word	(+word)
1	4.0401	(4.0401)	11.7311	(11.7311)
2	7.3397	(3.2996)	17.1271	(5.3960)
3	10.1841	(2.8444)	18.7374	(1.6103)
4	12.5584	(2.3743)	19.1477	(0.4103)
5	14.5034	(1.9450)	19.2646	(0.1169)
6	16.0897	(1.5863)	19.3041	(0.0395)
7	17.3882	(1.2985)	19.3237	(0.0196)
8	18.4330	(1.0448)	19.3372	(0.0136)
9	19.2570	(0.8240)	19.3473	(0.0101)
10	19.8958	(0.6388)	19.3560	(0.0087)
11	20.3850	(0.4892)	19.3635	(0.0075)
